Program_Name,Station_Name,Beach_Name,Lat_DD,Lon_DD,Municipality,County_Name,Station_Type_Name,Location_Type_Name,Result_Date,Result_Time,Result_Measure,Result_Comments,Units_Name,Result_Type_Name,Remark_Code_Name
"Cooperative Coastal Monitoring Program",CC1116,"2nd & JFK",39.0026639500,-74.7867934600,"North Wildwood City","Cape May County",Primary,Ocean,05/17/2021,06:35,2,"Imported from old, last updated: [2021-05-18 11:20:52.434437]",CFU/100mL,Enterococcus,--
"Cooperative Coastal Monitoring Program",CC1119,"Maple Ave",38.9857311185,-74.8034863297,"Wildwood City","Cape May County",Primary,Ocean,05/17/2021,07:02,2,"Imported from old, last updated: [2021-05-18 11:20:52.50288]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1120,Schellenger,38.9831232531,-74.8071697504,"Wildwood City","Cape May County",Primary,Ocean,05/17/2021,07:07,2,"Imported from old, last updated: [2021-05-18 11:20:52.574039]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1121,Montgomery,38.9791918712,-74.8126897203,"Wildwood City","Cape May County",Primary,Ocean,05/17/2021,07:12,2,"Imported from old, last updated: [2021-05-18 11:20:52.645425]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1122,Bennett,38.9756457284,-74.8185316746,"Wildwood City","Cape May County",Primary,Ocean,05/17/2021,07:19,2,"Imported from old, last updated: [2021-05-18 11:20:52.718323]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1123,Forgetmenot,38.9694971036,-74.8283883830,"Wildwood Crest Borough","Cape May County",Primary,Ocean,05/17/2021,07:39,2,"Imported from old, last updated: [2021-05-18 11:20:52.790853]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1124,Miami,38.9632662262,-74.8370528218,"Wildwood Crest Borough","Cape May County",Primary,Ocean,05/17/2021,07:58,2,"Imported from old, last updated: [2021-05-18 11:20:52.863039]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1125,Jefferson,38.9567699066,-74.8455837538,"Wildwood Crest Borough","Cape May County",Primary,Ocean,05/17/2021,08:13,2,"Imported from old, last updated: [2021-05-18 11:20:52.93303]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1127S,Brooklyn,38.9350000000,-74.8962530000,"Cape May City","Cape May County",Primary,Ocean,05/17/2021,09:03,2,"Imported from old, last updated: [2021-05-18 11:20:53.00064]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1129,"Queen North",38.9299576174,-74.9121053437,"Cape May City","Cape May County",Primary,Ocean,05/17/2021,09:26,2,"Imported from old, last updated: [2021-05-18 11:20:53.076849]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1130,"Ocean Ave",38.9289984484,-74.9191065864,"Cape May City","Cape May County",Primary,Ocean,05/17/2021,09:43,2,"Imported from old, last updated: [2021-05-18 11:20:53.146464]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1133,Congress,38.9287287679,-74.9232037549,"Cape May City","Cape May County",Primary,Ocean,05/17/2021,09:55,2,"Imported from old, last updated: [2021-05-18 11:20:53.2165]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1134,Grant,38.9286800659,-74.9267171610,"Cape May City","Cape May County",Primary,Ocean,05/17/2021,10:00,2,"Imported from old, last updated: [2021-05-18 11:20:53.287924]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1135,Broadway,38.9287285150,-74.9312155740,"Cape May City","Cape May County",Primary,Ocean,05/17/2021,10:06,2,"Imported from old, last updated: [2021-05-18 11:20:53.360086]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1136,2nd,38.9283628352,-74.9331964390,"Cape May City","Cape May County",Primary,Ocean,05/17/2021,10:21,2,"Imported from old, last updated: [2021-05-18 11:20:53.433053]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1148,Brainard,38.9379590357,-74.9710431701,"Cape May Point Borough","Cape May County",Primary,Ocean,05/17/2021,10:28,2,"Imported from old, last updated: [2021-05-18 11:20:53.505053]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1154,"Richmond Ave",38.9561966340,-74.8462740194,"Lower Township","Cape May County",Primary,Ocean,05/17/2021,08:20,2,"Imported from old, last updated: [2021-05-18 11:20:53.576023]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1156,"30th St",39.0918139944,-74.7161837949,"Avalon Borough","Cape May County",Primary,Ocean,05/17/2021,08:39,2,"Imported from old, last updated: [2021-05-18 11:20:53.647051]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1160,Park,39.2778464647,-74.5613139209,"Ocean City","Cape May County",Primary,Ocean,05/17/2021,06:28,2,"Imported from old, last updated: [2021-05-18 11:20:53.716814]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1162,"24th St",39.2592770000,-74.5943042118,"Ocean City","Cape May County",Primary,Ocean,05/17/2021,06:42,2,"Imported from old, last updated: [2021-05-18 11:20:53.787229]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1163,Webster,39.1959923818,-74.6520544678,"Upper Township","Cape May County",Primary,Ocean,05/17/2021,07:42,2,"Imported from old, last updated: [2021-05-18 11:20:53.856236]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1166,"59th St",39.1420697583,-74.6976336306,"Sea Isle City","Cape May County",Primary,Ocean,05/17/2021,08:05,2,"Imported from old, last updated: [2021-05-18 11:20:53.923229]",CFU/100mL,Enterococcus,--
"Cooperative Coastal Monitoring Program",CC1168,"9th St",39.1065101429,-74.7048292332,"Avalon Borough","Cape May County",Primary,Ocean,05/17/2021,08:27,2,"Imported from old, last updated: [2021-05-18 11:20:54.00544]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1169,"90th St",39.0547640496,-74.7513928336,"Stone Harbor Borough","Cape May County",Primary,Ocean,05/17/2021,09:14,2,"Imported from old, last updated: [2021-05-18 11:20:54.078212]",CFU/100mL,Enterococcus,--
"Cooperative Coastal Monitoring Program",CC1170,"108th St",39.0438538484,-74.7609814384,"Stone Harbor Borough","Cape May County",Primary,Ocean,05/17/2021,09:22,2,"Imported from old, last updated: [2021-05-18 11:20:54.15005]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1171,"119th St",39.0364842423,-74.7671852671,"Stone Harbor Borough","Cape May County",Primary,Ocean,05/17/2021,09:27,2,"Imported from old, last updated: [2021-05-18 11:20:54.224056]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1173,Whildin,38.9310073077,-74.9639848331,"Cape May Point Borough","Cape May County",Primary,Ocean,05/17/2021,10:44,2,"Imported from old, last updated: [2021-05-18 11:20:54.296233]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1174,Ocean,38.9326873857,-74.9667864934,"Cape May Point Borough","Cape May County",Primary,Ocean,05/17/2021,10:35,2,"Imported from old, last updated: [2021-05-18 11:20:54.366656]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1175,Lavendar,38.9736316468,-74.8219140659,"Wildwood Crest Borough","Cape May County",Primary,Ocean,05/17/2021,07:31,2,"Imported from old, last updated: [2021-05-18 11:20:54.439021]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1176,Philadelphia,38.9315318813,-74.9064319455,"Cape May City","Cape May County",Primary,Ocean,05/17/2021,09:15,2,"Imported from old, last updated: [2021-05-18 11:20:54.509452]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1177,"85th St",39.1250098417,-74.7069836129,"Sea Isle City","Cape May County",Primary,Ocean,05/17/2021,08:16,2,"Imported from old, last updated: [2021-05-18 11:20:54.581522]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1178,"65th St",39.0715462725,-74.7382360115,"Avalon Borough","Cape May County",Primary,Ocean,05/17/2021,09:01,2,"Imported from old, last updated: [2021-05-18 11:20:54.65561]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1179,"103rd St",39.0469857809,-74.7585603641,"Stone Harbor Borough","Cape May County",Primary,Ocean,05/17/2021,09:20,2,"Imported from old, last updated: [2021-05-18 11:20:54.729023]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1180,"24th St",38.9886811866,-74.8000556422,"North Wildwood City","Cape May County",Primary,Ocean,05/17/2021,06:56,4,"Imported from old, last updated: [2021-05-18 11:20:54.799026]",CFU/100mL,Enterococcus,--
"Cooperative Coastal Monitoring Program",CC1181,North,39.2831767192,-74.5554126119,"Ocean City","Cape May County",Primary,Ocean,05/17/2021,06:20,2,"Imported from old, last updated: [2021-05-18 11:20:54.868264]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1182,"16th St",39.2682209422,-74.5818322424,"Ocean City","Cape May County",Primary,Ocean,05/17/2021,06:38,2,"Imported from old, last updated: [2021-05-18 11:20:54.940021]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1183,"28th St",39.2553306375,-74.5991135324,"Ocean City","Cape May County",Primary,Ocean,05/17/2021,06:49,2,"Imported from old, last updated: [2021-05-18 11:20:55.009523]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1184,"48th St",39.2319057088,-74.6246904570,"Ocean City","Cape May County",Primary,Ocean,05/17/2021,07:01,2,"Imported from old, last updated: [2021-05-18 11:20:55.07862]",CFU/100mL,Enterococcus,--
"Cooperative Coastal Monitoring Program",CC1185,"29th St",39.1625781672,-74.6826937794,"Sea Isle City","Cape May County",Primary,Ocean,05/17/2021,07:51,2,"Imported from old, last updated: [2021-05-18 11:20:55.151405]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1186,"49th St",39.1488023215,-74.6928170883,"Sea Isle City","Cape May County",Primary,Ocean,05/17/2021,08:01,2,"Imported from old, last updated: [2021-05-18 11:20:55.229619]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1187,"65th St",39.1379934395,-74.6999312409,"Sea Isle City","Cape May County",Primary,Ocean,05/17/2021,08:08,2,"Imported from old, last updated: [2021-05-18 11:20:55.303013]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1188,"77th St",39.1304661189,-74.7040258775,"Sea Isle City","Cape May County",Primary,Ocean,05/17/2021,08:12,2,"Imported from old, last updated: [2021-05-18 11:20:55.374638]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1189,"15th St",39.1017422893,-74.7080618480,"Avalon Borough","Cape May County",Primary,Ocean,05/17/2021,08:31,2,"Imported from old, last updated: [2021-05-18 11:20:55.477295]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1190,"50th St",39.0805716579,-74.7289039836,"Avalon Borough","Cape May County",Primary,Ocean,05/17/2021,08:54,2,"Imported from old, last updated: [2021-05-18 11:20:55.552989]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1191,"57th St",39.0763374081,-74.7336487381,"Avalon Borough","Cape May County",Primary,Ocean,05/17/2021,08:58,2,"Imported from old, last updated: [2021-05-18 11:20:55.621043]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1192,"76th St",39.0642112519,-74.7443818139,"Avalon Borough","Cape May County",Primary,Ocean,05/17/2021,09:07,2,"Imported from old, last updated: [2021-05-18 11:20:55.693802]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1193,"96th St",39.0514077929,-74.7545716237,"Stone Harbor Borough","Cape May County",Primary,Ocean,05/17/2021,09:17,2,"Imported from old, last updated: [2021-05-18 11:20:55.76345]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1195,Orchid,38.9664229034,-74.8330179345,"Wildwood Crest Borough","Cape May County",Primary,Ocean,05/17/2021,07:50,2,"Imported from old, last updated: [2021-05-18 11:20:55.836004]",CFU/100mL,Enterococcus,--
"Cooperative Coastal Monitoring Program",CC1196,Hollywood,38.9599786055,-74.8414105690,"Wildwood Crest Borough","Cape May County",Primary,Ocean,05/17/2021,08:03,2,"Imported from old, last updated: [2021-05-18 11:20:55.90988]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1210,"10th & JFK",38.9964063611,-74.7906740158,"North Wildwood City","Cape May County",Primary,Ocean,05/17/2021,10:44,N/A,"Imported from old, last updated: [2021-05-18 11:20:56.014508]",CFU/100mL,Enterococcus,NS
"Cooperative Coastal Monitoring Program",CC1211,"18th Ave",38.9923107998,-74.7964688356,"North Wildwood City","Cape May County",Primary,Ocean,05/17/2021,06:50,2,"Imported from old, last updated: [2021-05-18 11:20:56.104568]",CFU/100mL,Enterococcus,--
"Cooperative Coastal Monitoring Program",OC1054,"75th Ocean Front",39.7034466073,-74.1335770736,"Harvey Cedars Borough","Ocean County",Primary,Ocean,05/17/2021,07:38,10,"Imported from old, last updated: [2021-05-18 14:12:23.902633]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",OC1058,Bergen,39.6860536335,-74.1446397950,"Harvey Cedars Borough","Ocean County",Primary,Ocean,05/17/2021,07:19,10,"Imported from old, last updated: [2021-05-18 14:12:23.903516]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",OC1068,"14th St Ocean Front",39.6448907967,-74.1762155318,"Ship Bottom Borough","Ocean County",Primary,Ocean,05/17/2021,07:05,10,"Imported from old, last updated: [2021-05-18 14:12:23.921098]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",OC1072,"Stockton Ave",39.6151911343,-74.1978774892,"Long Beach Township","Ocean County",Primary,Ocean,05/17/2021,06:40,10,"Imported from old, last updated: [2021-05-18 14:12:23.908358]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",OC1100,"South 3rd St",39.6515320211,-74.1706224745,"Ship Bottom Borough","Ocean County",Primary,Ocean,05/17/2021,07:05,10,"Imported from old, last updated: [2021-05-18 14:12:23.921902]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",MC1013,"Public Beach",40.3622814044,-73.9714540943,"Sea Bright Borough","Monmouth County",Primary,Ocean,05/17/2021,07:16,10,"Imported from old, last updated: [2021-05-18 12:27:46.079345]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",MC1018,"Atlantic Ave",40.3200680936,-73.9750786409,"Long Branch City","Monmouth County",Primary,Ocean,05/17/2021,08:00,10,"Imported from old, last updated: [2021-05-18 12:27:46.151605]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",MC1019,Joline,40.3143364604,-73.9761722615,"Long Branch City","Monmouth County",Primary,Ocean,05/17/2021,08:15,10,"Imported from old, last updated: [2021-05-18 12:27:46.222275]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",MC1020,"South Bath",40.2913981527,-73.9796819117,"Long Branch City","Monmouth County",Primary,Ocean,05/17/2021,07:30,10,"Imported from old, last updated: [2021-05-18 12:27:46.292696]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",MC1021,"Elberon Bch Clb",40.2609915318,-73.9879961017,"Long Branch City","Monmouth County",Primary,Ocean,05/17/2021,07:00,10,"Imported from old, last updated: [2021-05-18 12:27:46.364895]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",MC1022,"Deal Casino",40.2522531157,-73.9901180256,"Deal Borough","Monmouth County",Primary,Ocean,05/17/2021,08:45,10,"Imported from old, last updated: [2021-05-18 12:27:46.43769]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",MC1023,"North Bath",40.2945292984,-73.9788529377,"Long Branch City","Monmouth County",Primary,Ocean,05/17/2021,07:40,10,"Imported from old, last updated: [2021-05-18 12:27:46.50664]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",MC1024,3rd,40.2209176425,-73.9984369303,"Asbury Park City","Monmouth County",Primary,Ocean,05/17/2021,07:40,10,"Imported from old, last updated: [2021-05-18 12:27:46.581383]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",MC1027,Sylvania,40.1917268859,-74.0081774117,"Avon-by-the-Sea Borough","Monmouth County",Primary,Ocean,05/17/2021,07:51,10,"Imported from old, last updated: [2021-05-18 12:27:46.647972]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",MC1031,"L Jetty, Washington Ave",40.1888335237,-74.0088216656,"Avon-by-the-Sea Borough","Monmouth County",Primary,Ocean,05/17/2021,07:45,10,"Imported from old, last updated: [2021-05-18 12:27:46.716597]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",MC1036,"East Main",40.1113420270,-74.0323773678,"Manasquan Borough","Monmouth County",Primary,Ocean,05/17/2021,07:16,10,"Imported from old, last updated: [2021-05-18 12:27:46.784198]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",MC1039,Laird,40.3040574457,-73.9769902841,"Long Branch City","Monmouth County",Primary,Ocean,05/17/2021,07:50,10,"Imported from old, last updated: [2021-05-18 12:27:46.853156]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",MC1041,Cedar,40.2367133247,-73.9939071598,"Allenhurst Borough","Monmouth County",Primary,Ocean,05/17/2021,08:15,10,"Imported from old, last updated: [2021-05-18 12:27:46.922233]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",MC1043,"Village Beach Club",40.2322903369,-73.9960221817,"Loch Arbour Village","Monmouth County",Primary,Ocean,05/17/2021,08:00,10,"Imported from old, last updated: [2021-05-18 12:27:46.990805]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",MC1046S,"Pavilion Beach",40.3245843900,-73.9743557400,"Monmouth Beach Borough","Monmouth County",Primary,Ocean,05/17/2021,07:26,10,"Imported from old, last updated: [2021-05-18 12:27:47.057784]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",MC1047,"Ocean Beach Club",40.2692712907,-73.9848903782,"Long Branch City","Monmouth County",Primary,Ocean,05/17/2021,07:10,10,"Imported from old, last updated: [2021-05-18 12:27:47.129371]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",MC1050,"1st Ave",40.2179562572,-73.9994817762,"Asbury Park City","Monmouth County",Primary,Ocean,05/17/2021,07:30,10,"Imported from old, last updated: [2021-05-18 12:27:47.19798]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",MC1051,Main,40.2114438126,-74.0018846213,"Neptune Township","Monmouth County",Primary,Ocean,05/17/2021,07:05,10,"Imported from old, last updated: [2021-05-18 12:27:47.264608]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",MC1052,Broadway,40.2089715639,-74.0029218061,"Neptune Township","Monmouth County",Primary,Ocean,05/17/2021,07:00,10,"Imported from old, last updated: [2021-05-18 12:27:47.332966]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",MC1053,"Ocean Park",40.2039657903,-74.0045925064,"Bradley Beach Borough","Monmouth County",Primary,Ocean,05/17/2021,08:10,10,"Imported from old, last updated: [2021-05-18 12:27:47.402464]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",MC1054,Evergreen,40.1960369121,-74.0070955720,"Bradley Beach Borough","Monmouth County",Primary,Ocean,05/17/2021,08:00,10,"Imported from old, last updated: [2021-05-18 12:27:47.474178]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",MC1056,"12th Ave",40.1746929138,-74.0133067766,"Belmar Borough","Monmouth County",Primary,Ocean,05/17/2021,08:50,10,"Imported from old, last updated: [2021-05-18 12:27:47.546029]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",MC1057,Worthington,40.1606659140,-74.0181320765,"Spring Lake Borough","Monmouth County",Primary,Ocean,05/17/2021,07:30,10,"Imported from old, last updated: [2021-05-18 12:27:47.617987]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",MC1058,Washington,40.1531230763,-74.0207405113,"Spring Lake Borough","Monmouth County",Primary,Ocean,05/17/2021,07:22,10,"Imported from old, last updated: [2021-05-18 12:27:47.689206]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",MC1059,"Essex Ave",40.1458715494,-74.0229989892,"Spring Lake Borough","Monmouth County",Primary,Ocean,05/17/2021,07:15,10,"Imported from old, last updated: [2021-05-18 12:27:47.766038]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",MC1060,"Brown Ave S",40.1386877468,-74.0250879064,"Spring Lake Borough","Monmouth County",Primary,Ocean,05/17/2021,06:53,10,"Imported from old, last updated: [2021-05-18 12:27:47.836978]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",MC1062,"Neptune Pl",40.1247816601,-74.0296142220,"Sea Girt Borough","Monmouth County",Primary,Ocean,05/17/2021,07:32,10,"Imported from old, last updated: [2021-05-18 12:27:47.907218]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",MC1065,"7th Ave",40.2266481207,-73.9966637716,"Asbury Park City","Monmouth County",Primary,Ocean,05/17/2021,07:45,10,"Imported from old, last updated: [2021-05-18 12:27:47.97897]",CFU/100mL,Enterococcus,--
"Cooperative Coastal Monitoring Program",MC1067,"The Terrace",40.1376253671,-74.0253175824,"Sea Girt Borough","Monmouth County",Primary,Ocean,05/17/2021,08:18,10,"Imported from old, last updated: [2021-05-18 12:27:48.048214]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",MC1070,"York Ave",40.1399664673,-74.0248346537,"Spring Lake Borough","Monmouth County",Primary,Ocean,05/17/2021,07:02,10,"Imported from old, last updated: [2021-05-18 12:27:48.126832]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",MC1071,"Union Ave",40.1409751444,-74.0245880201,"Spring Lake Borough","Monmouth County",Primary,Ocean,05/17/2021,07:07,10,"Imported from old, last updated: [2021-05-18 12:27:48.19677]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",MC1072,"Beacon Blvd",40.1361470507,-74.0258325645,"Sea Girt Borough","Monmouth County",Primary,Ocean,05/17/2021,08:10,10,"Imported from old, last updated: [2021-05-18 12:27:48.270587]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",MC1075,20th,40.1683779799,-74.0156648801,"Belmar Borough","Monmouth County",Primary,Ocean,05/17/2021,08:34,10,"Imported from old, last updated: [2021-05-18 12:27:48.344345]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",MC1081,Baltimore,40.1319978699,-74.0272616136,"Sea Girt Borough","Monmouth County",Primary,Ocean,05/17/2021,07:42,10,"Imported from old, last updated: [2021-05-18 12:27:48.417371]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",MC1082,"New York Blvd",40.1330808595,-74.0268899586,"Sea Girt Borough","Monmouth County",Primary,Ocean,05/17/2021,07:57,10,"Imported from old, last updated: [2021-05-18 12:27:48.487786]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",MC1083,"Spray Ave.",40.2154108696,-74.0003227451,"Neptune Township","Monmouth County",Primary,Ocean,05/17/2021,07:15,10,"Imported from old, last updated: [2021-05-18 12:27:48.557403]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",MC1084,"Imperial House",40.2774808730,-73.9829927536,"Long Branch City","Monmouth County",Primary,Ocean,05/17/2021,07:20,10,"Imported from old, last updated: [2021-05-18 12:27:48.627993]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",MC1096,"Inlet Surfing Beach, Riverside Dr.",40.1036598447,-74.0338439653,"Manasquan Borough","Monmouth County",Primary,Ocean,05/17/2021,07:00,10,"Imported from old, last updated: [2021-05-18 12:27:48.727354]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",MC1098S,"Army Rec. Beach North",40.4702497325,-73.9957940728,"Middletown Township","Monmouth County",Primary,Ocean,05/17/2021,08:30,10,"Imported from old, last updated: [2021-05-18 12:27:48.803971]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",MC1128S,"Hathaway Avenue Beach",40.2403590000,-73.9933540000,"Deal Borough","Monmouth County",Primary,Ocean,05/17/2021,08:30,10,"Imported from old, last updated: [2021-05-18 12:27:48.874736]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",MC1142S,"Area E Visitor Center South",40.4254510000,-73.9819930000,"Middletown Township","Monmouth County",Primary,Ocean,05/17/2021,08:00,10,"Imported from old, last updated: [2021-05-18 12:27:48.943966]",CFU/100mL,Enterococcus,K
